Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,City
30/03/2009,3.2,10.8,0.3,1005.4,63.0,0.51,24.1,31.9,46.5,61.1,1,0,0,0,Toronto
31/03/2009,1.2,5.6,-3.1,1021.3,66.0,0.0,24.1,15.6,31.3,53.5,0,0,0,0,Toronto
1/04/2009,7.2,13.0,2.7,1010.0,64.0,1.78,22.5,23.0,50.0,70.2,1,0,0,0,Toronto
2/04/2009,8.6,15.0,2.0,1012.4,50.0,0.0,24.1,12.6,27.8,70.6,0,0,0,0,Toronto
3/04/2009,9.6,15.1,1.3,993.5,71.0,26.16,14.5,21.1,33.5,48.2,1,0,0,0,Toronto
4/04/2009,3.8,10.0,2.5,998.1,69.0,14.22,22.0,50.7,63.0,79.5,1,0,0,0,Toronto
5/04/2009,5.1,12.0,1.0,1011.7,57.0,0.0,24.1,21.7,40.7,79.5,0,0,0,0,Toronto
6/04/2009,2.8,7.2,-1.0,1000.4,75.0,15.24,13.7,26.7,48.2,61.1,1,1,0,0,Toronto
7/04/2009,-2.1,0.0,-4.0,996.7,68.0,2.79,13.2,39.1,61.1,64.8,0,1,0,0,Toronto
8/04/2009,1.8,8.0,-2.0,999.9,56.0,0.0,22.7,29.3,50.0,63.0,0,1,0,0,Toronto
9/04/2009,5.5,11.2,-1.7,1007.1,46.0,0.0,24.1,21.1,38.9,63.0,0,0,0,0,Toronto
10/04/2009,5.1,11.7,-1.7,1015.7,51.0,0.0,24.1,11.9,24.1,51.9,0,0,0,0,Toronto
11/04/2009,3.6,8.0,-1.0,1020.5,47.0,0.0,24.1,23.2,44.3,55.4,0,0,0,0,Toronto
12/04/2009,1.7,8.9,-2.5,1027.4,44.0,0.0,24.1,21.9,33.5,55.4,0,0,0,0,Toronto
13/04/2009,1.7,6.7,-3.9,1024.6,41.0,0.0,24.1,15.0,25.9,46.5,0,0,0,0,Toronto
14/04/2009,6.7,12.0,4.0,1016.4,29.0,0.0,24.1,20.9,42.4,57.2,0,0,0,0,Toronto
15/04/2009,10.3,14.0,7.0,1018.7,27.0,0.0,24.1,18.9,25.9,57.6,0,0,0,0,Toronto
16/04/2009,8.6,14.5,2.5,1028.0,35.0,0.0,24.1,11.9,22.2,33.5,0,0,0,0,Toronto
17/04/2009,11.4,21.0,4.0,1026.9,31.0,0.0,24.1,14.4,31.3,40.7,0,0,0,0,Toronto
